time,posRate
2007 06,0.228
2007 07,0.191304348
2007 08,0.133093525
2007 09,0.15625
2007 10,0.221343874
2007 11,0.308823529
2007 12,0.327759197
2008 01,0.355555556
2008 02,0.323420074
2008 03,0.375912409
2008 04,0.31010453
2008 05,0.316872428
2008 06,0.296116505
2008 07,0.24120603
2008 08,0.174358974
2008 09,0.186813187
2008 10,0.251937984
2008 11,0.209183673
2008 12,0.297959184
2009 01,0.321299639
2009 02,0.306049822
2009 03,0.281746032
2009 04,0.310344828
2009 05,0.264822134
2009 06,0.242677824
2009 07,0.199095023
2009 08,0.225961538
2009 09,0.171102662
2009 10,0.193220339
2009 11,0.262068966
2009 12,0.264094955
2010 01,0.323024055
2010 02,0.279310345
2010 03,0.342105263
2010 04,0.312280702
2010 05,0.205776173
2010 06,0.179775281
2010 07,0.105263158
2010 08,0.210526316
2010 09,0.166007905
2010 10,0.169550173
2010 11,0.280141844
2010 12,0.279373368
2011 01,0.323076923
2011 02,0.329341317
2011 03,0.276102088
2011 04,0.286764706
2011 05,0.265486726
2011 06,0.255591054
2011 07,0.226415094
2011 08,0.166134185
2011 09,0.236111111
2011 10,0.233595801
2011 11,0.260628466
2011 12,0.34141791
2012 01,0.320813772
2012 02,0.28440367
2012 03,0.295454545
2012 04,0.258119658
2012 05,0.23903177
2012 06,0.203442879
2012 07,0.198934281
2012 08,0.143084261
2012 09,0.145390071
2012 10,0.183673469
2012 11,0.242587601
2012 12,0.232087227
2013 01,0.22556391
2013 02,0.249628529
2013 03,0.250359712
2013 04,0.203883495
2013 05,0.214929215
2013 06,0.147385103
2013 07,0.118975904
2013 08,0.100729927
2013 09,0.107615894
2013 10,0.137789905
2013 11,0.170731707
2013 12,0.182945736
2014 01,0.206997085
2014 02,0.182291667
2014 03,0.156305506
2014 04,0.170046802
2014 05,0.158850227
2014 06,0.159057437
2014 07,0.122619048
2014 08,0.128266033
2014 09,0.13
2014 10,0.139775669
2014 11,0.161392405
2014 12,0.182692308
2015 01,0.194156456
2015 02,0.161606268
2015 03,0.214223764
2015 04,0.218918919
2015 05,0.201107011
2015 06,0.183426443
2015 07,0.165178571
2015 08,0.132339236
2015 09,0.146278871
2015 10,0.183006536
2015 11,0.202256944
2015 12,0.216689098
2016 01,0.227678571
2016 02,0.210950081
2016 03,0.241620112
2016 04,0.208799403
2016 05,0.188449848
2016 06,0.147826087
2016 07,0.138719512
2016 08,0.102992345
2016 09,0.115781711
2016 10,0.117694155
2016 11,0.140695915
2016 12,0.201160542
2017 01,0.195198989
2017 02,0.189971751
2017 03,0.202906351
2017 04,0.191807542
2017 05,0.166134185
2017 06,0.179860671
2017 07,0.14255618
2017 08,0.146273637
2017 09,0.149396058
2017 10,0.141772152
2017 11,0.17030053
2017 12,0.188322839
2018 01,0.231368729
2018 02,0.2164297
2018 03,0.221377672
2018 04,0.24011713
2018 05,0.251580278
2018 06,0.242857143
2018 07,0.198817106
2018 08,0.184567662
2018 09,0.166440525
2018 10,0.193318318
2018 11,0.208833922
2018 12,0.210991545
2019 01,0.232962448
2019 02,0.239104829
2019 03,0.243462247
2019 04,0.24971666
2019 05,0.266022198
2019 06,0.217113155
2019 07,0.17833698
2019 08,0.175388967
2019 09,0.172319688
2019 10,0.184246112
2019 11,0.205882353
