time,posRate
2007 06,0.424901186
2007 07,0.386255924
2007 08,0.372093023
2007 09,0.346473029
2007 10,0.484751204
2007 11,0.506024096
2007 12,0.543352601
2008 01,0.493383743
2008 02,0.464566929
2008 03,0.505592841
2008 04,0.473372781
2008 05,0.537859008
2008 06,0.418118467
2008 07,0.381987578
2008 08,0.433862434
2008 09,0.373134328
2008 10,0.427983539
2008 11,0.432065217
2008 12,0.413612565
2009 01,0.446712018
2009 02,0.375838926
2009 03,0.455156951
2009 04,0.418300654
2009 05,0.407407407
2009 06,0.46728972
2009 07,0.408415842
2009 08,0.410658307
2009 09,0.436320755
2009 10,0.453333333
2009 11,0.447368421
2009 12,0.413333333
2010 01,0.486746988
2010 02,0.4
2010 03,0.417821782
2010 04,0.397540984
2010 05,0.518907563
2010 06,0.411899314
2010 07,0.414285714
2010 08,0.368550369
2010 09,0.384201077
2010 10,0.486206897
2010 11,0.547657512
2010 12,0.531468531
2011 01,0.483931947
2011 02,0.490909091
2011 03,0.436260623
2011 04,0.429017161
2011 05,0.446043165
2011 06,0.44646098
2011 07,0.357142857
2011 08,0.3977813
2011 09,0.428571429
2011 10,0.511954993
2011 11,0.521111111
2011 12,0.566308244
2012 01,0.480140187
2012 02,0.460122699
2012 03,0.468785471
2012 04,0.46509009
2012 05,0.450624291
2012 06,0.459459459
2012 07,0.364754098
2012 08,0.401136364
2012 09,0.388571429
2012 10,0.448303078
2012 11,0.425531915
2012 12,0.438882421
2013 01,0.385714286
2013 02,0.402567095
2013 03,0.404347826
2013 04,0.4375
2013 05,0.399553571
2013 06,0.318952234
2013 07,0.305084746
2013 08,0.315911731
2013 09,0.359818388
2013 10,0.375441696
2013 11,0.397502601
2013 12,0.373417722
2014 01,0.328200192
2014 02,0.314385151
2014 03,0.376470588
2014 04,0.338834951
2014 05,0.346544715
2014 06,0.325471698
2014 07,0.305084746
2014 08,0.313192346
2014 09,0.269483568
2014 10,0.346500347
2014 11,0.39801444
2014 12,0.379282869
2015 01,0.354149548
2015 02,0.360323887
2015 03,0.353915663
2015 04,0.35698769
2015 05,0.337672905
2015 06,0.347826087
2015 07,0.281889764
2015 08,0.310787671
2015 09,0.320425209
2015 10,0.368715084
2015 11,0.414703783
2015 12,0.41011236
2016 01,0.380291971
2016 02,0.359760658
2016 03,0.364698248
2016 04,0.388447653
2016 05,0.36673774
2016 06,0.361610352
2016 07,0.354037267
2016 08,0.319913731
2016 09,0.330857529
2016 10,0.371822803
2016 11,0.421825144
2016 12,0.399454669
2017 01,0.412335412
2017 02,0.434502505
2017 03,0.419127086
2017 04,0.42013626
2017 05,0.405305822
2017 06,0.370284834
2017 07,0.345226615
2017 08,0.33639399
2017 09,0.349072513
2017 10,0.394103957
2017 11,0.475519288
2017 12,0.472852234
2018 01,0.455633803
2018 02,0.39050536
2018 03,0.415428167
2018 04,0.446016381
2018 05,0.391724138
2018 06,0.373433584
2018 07,0.338683788
2018 08,0.357791754
2018 09,0.34625789
2018 10,0.437161756
2018 11,0.478214094
2018 12,0.474233529
2019 01,0.410828025
2019 02,0.368386243
2019 03,0.352686844
2019 04,0.348560701
2019 05,0.37908135
2019 06,0.369872226
2019 07,0.289250814
2019 08,0.330457863
2019 09,0.361825193
2019 10,0.389358528
2019 11,0.416749751
